valuation_date,source,source_symbol,canonical_id,asset_class,quote_type,raw_value,conversion,factor,shift,currency,unit
2026-07-20,DEMO_SYNTHETIC,JPY-OIS-6M,RATE.JPY.OIS.6M,RATES,RATE,0.55,percent_to_decimal,1,0,JPY,DECIMAL
2026-07-20,DEMO_SYNTHETIC,JPY-OIS-1Y,RATE.JPY.OIS.1Y,RATES,RATE,0.65,percent_to_decimal,1,0,JPY,DECIMAL
2026-07-20,DEMO_SYNTHETIC,JPY-OIS-2Y,RATE.JPY.OIS.2Y,RATES,RATE,0.8,percent_to_decimal,1,0,JPY,DECIMAL
2026-07-20,DEMO_SYNTHETIC,JPY-OIS-5Y,RATE.JPY.OIS.5Y,RATES,RATE,1.1,percent_to_decimal,1,0,JPY,DECIMAL
2026-07-20,DEMO_SYNTHETIC,JPY-OIS-10Y,RATE.JPY.OIS.10Y,RATES,RATE,1.45,percent_to_decimal,1,0,JPY,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CHF-OIS-1M,RATE.CHF.OIS.1M,RATES,RATE,1.05,percent_to_decimal,1,0,CHF,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CHF-OIS-3M,RATE.CHF.OIS.3M,RATES,RATE,1.1,percent_to_decimal,1,0,CHF,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CHF-OIS-6M,RATE.CHF.OIS.6M,RATES,RATE,1.15,percent_to_decimal,1,0,CHF,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CHF-OIS-1Y,RATE.CHF.OIS.1Y,RATES,RATE,1.2,percent_to_decimal,1,0,CHF,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CHF-OIS-2Y,RATE.CHF.OIS.2Y,RATES,RATE,1.3,percent_to_decimal,1,0,CHF,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CHF-OIS-5Y,RATE.CHF.OIS.5Y,RATES,RATE,1.45,percent_to_decimal,1,0,CHF,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CHF-OIS-10Y,RATE.CHF.OIS.10Y,RATES,RATE,1.6,percent_to_decimal,1,0,CHF,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CAD-OIS-1M,RATE.CAD.OIS.1M,RATES,RATE,3.25,percent_to_decimal,1,0,CAD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CAD-OIS-3M,RATE.CAD.OIS.3M,RATES,RATE,3.2,percent_to_decimal,1,0,CAD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CAD-OIS-6M,RATE.CAD.OIS.6M,RATES,RATE,3.15,percent_to_decimal,1,0,CAD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CAD-OIS-1Y,RATE.CAD.OIS.1Y,RATES,RATE,3.1,percent_to_decimal,1,0,CAD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CAD-OIS-2Y,RATE.CAD.OIS.2Y,RATES,RATE,3.05,percent_to_decimal,1,0,CAD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CAD-OIS-5Y,RATE.CAD.OIS.5Y,RATES,RATE,3.1,percent_to_decimal,1,0,CAD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CAD-OIS-10Y,RATE.CAD.OIS.10Y,RATES,RATE,3.2,percent_to_decimal,1,0,CAD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,AUD-OIS-1M,RATE.AUD.OIS.1M,RATES,RATE,3.7,percent_to_decimal,1,0,AUD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,AUD-OIS-3M,RATE.AUD.OIS.3M,RATES,RATE,3.65,percent_to_decimal,1,0,AUD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,AUD-OIS-6M,RATE.AUD.OIS.6M,RATES,RATE,3.6,percent_to_decimal,1,0,AUD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,AUD-OIS-1Y,RATE.AUD.OIS.1Y,RATES,RATE,3.55,percent_to_decimal,1,0,AUD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,AUD-OIS-2Y,RATE.AUD.OIS.2Y,RATES,RATE,3.5,percent_to_decimal,1,0,AUD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,AUD-OIS-5Y,RATE.AUD.OIS.5Y,RATES,RATE,3.6,percent_to_decimal,1,0,AUD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,AUD-OIS-10Y,RATE.AUD.OIS.10Y,RATES,RATE,3.75,percent_to_decimal,1,0,AUD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,NZD-OIS-1M,RATE.NZD.OIS.1M,RATES,RATE,4.0,percent_to_decimal,1,0,NZD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,NZD-OIS-3M,RATE.NZD.OIS.3M,RATES,RATE,3.95,percent_to_decimal,1,0,NZD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,NZD-OIS-6M,RATE.NZD.OIS.6M,RATES,RATE,3.9,percent_to_decimal,1,0,NZD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,NZD-OIS-1Y,RATE.NZD.OIS.1Y,RATES,RATE,3.8,percent_to_decimal,1,0,NZD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,NZD-OIS-2Y,RATE.NZD.OIS.2Y,RATES,RATE,3.7,percent_to_decimal,1,0,NZD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,NZD-OIS-5Y,RATE.NZD.OIS.5Y,RATES,RATE,3.75,percent_to_decimal,1,0,NZD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,NZD-OIS-10Y,RATE.NZD.OIS.10Y,RATES,RATE,3.85,percent_to_decimal,1,0,NZD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,NOK-OIS-1M,RATE.NOK.OIS.1M,RATES,RATE,3.95,percent_to_decimal,1,0,NOK,DECIMAL
2026-07-20,DEMO_SYNTHETIC,NOK-OIS-3M,RATE.NOK.OIS.3M,RATES,RATE,3.9,percent_to_decimal,1,0,NOK,DECIMAL
2026-07-20,DEMO_SYNTHETIC,NOK-OIS-6M,RATE.NOK.OIS.6M,RATES,RATE,3.85,percent_to_decimal,1,0,NOK,DECIMAL
2026-07-20,DEMO_SYNTHETIC,NOK-OIS-1Y,RATE.NOK.OIS.1Y,RATES,RATE,3.75,percent_to_decimal,1,0,NOK,DECIMAL
2026-07-20,DEMO_SYNTHETIC,NOK-OIS-2Y,RATE.NOK.OIS.2Y,RATES,RATE,3.65,percent_to_decimal,1,0,NOK,DECIMAL
2026-07-20,DEMO_SYNTHETIC,NOK-OIS-5Y,RATE.NOK.OIS.5Y,RATES,RATE,3.7,percent_to_decimal,1,0,NOK,DECIMAL
2026-07-20,DEMO_SYNTHETIC,NOK-OIS-10Y,RATE.NOK.OIS.10Y,RATES,RATE,3.85,percent_to_decimal,1,0,NOK,DECIMAL
2026-07-20,DEMO_SYNTHETIC,SEK-OIS-1M,RATE.SEK.OIS.1M,RATES,RATE,2.65,percent_to_decimal,1,0,SEK,DECIMAL
2026-07-20,DEMO_SYNTHETIC,SEK-OIS-3M,RATE.SEK.OIS.3M,RATES,RATE,2.6,percent_to_decimal,1,0,SEK,DECIMAL
2026-07-20,DEMO_SYNTHETIC,SEK-OIS-6M,RATE.SEK.OIS.6M,RATES,RATE,2.55,percent_to_decimal,1,0,SEK,DECIMAL
2026-07-20,DEMO_SYNTHETIC,SEK-OIS-1Y,RATE.SEK.OIS.1Y,RATES,RATE,2.5,percent_to_decimal,1,0,SEK,DECIMAL
2026-07-20,DEMO_SYNTHETIC,SEK-OIS-2Y,RATE.SEK.OIS.2Y,RATES,RATE,2.45,percent_to_decimal,1,0,SEK,DECIMAL
2026-07-20,DEMO_SYNTHETIC,SEK-OIS-5Y,RATE.SEK.OIS.5Y,RATES,RATE,2.55,percent_to_decimal,1,0,SEK,DECIMAL
2026-07-20,DEMO_SYNTHETIC,SEK-OIS-10Y,RATE.SEK.OIS.10Y,RATES,RATE,2.7,percent_to_decimal,1,0,SEK,DECIMAL
2026-07-20,DEMO_SYNTHETIC,EURUSD,FX.EURUSD.SPOT,FX,SPOT,1.1,identity,1,0,USD,USD_PER_EUR
2026-07-20,DEMO_SYNTHETIC,GBPUSD,FX.GBPUSD.SPOT,FX,SPOT,1.28,identity,1,0,USD,USD_PER_GBP
2026-07-20,DEMO_SYNTHETIC,AUDUSD,FX.AUDUSD.SPOT,FX,SPOT,0.66,identity,1,0,USD,USD_PER_AUD
2026-07-20,DEMO_SYNTHETIC,NZDUSD,FX.NZDUSD.SPOT,FX,SPOT,0.61,identity,1,0,USD,USD_PER_NZD
2026-07-20,DEMO_SYNTHETIC,USDJPY,FX.USDJPY.SPOT,FX,SPOT,151.0,identity,1,0,JPY,JPY_PER_USD
2026-07-20,DEMO_SYNTHETIC,USDCHF,FX.USDCHF.SPOT,FX,SPOT,0.89,identity,1,0,CHF,CHF_PER_USD
2026-07-20,DEMO_SYNTHETIC,USDCAD,FX.USDCAD.SPOT,FX,SPOT,1.36,identity,1,0,CAD,CAD_PER_USD
2026-07-20,DEMO_SYNTHETIC,USDNOK,FX.USDNOK.SPOT,FX,SPOT,10.55,identity,1,0,NOK,NOK_PER_USD
2026-07-20,DEMO_SYNTHETIC,USDSEK,FX.USDSEK.SPOT,FX,SPOT,10.2,identity,1,0,SEK,SEK_PER_USD
2026-07-20,DEMO_SYNTHETIC,EURUSD-ATM-1Y,VOL.FX.EURUSD.ATM.1Y,FX,VOLATILITY,10.0,percent_to_decimal,1,0,USD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,CP-5Y,CR.COUNTERPARTY.DEMO.5Y,CREDIT,SPREAD,100,bps_to_decimal,1,0,USD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,OWN-5Y,CR.OWN.DEMO.5Y,CREDIT,SPREAD,80,bps_to_decimal,1,0,USD,DECIMAL
